address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
6 Ashleigh Cr,2,5,7,21-03-2020,638m²,House,17th March 2020,$610k,VIC,Meadow Heights,3048
49 Bradman Dr,3,4,3,21-03-2020,453m²,House,19th March 2020,$570k,VIC,Meadow Heights,3048
3/14 Dakara Cl,2,3,2,21-03-2020,UNAVAILABLE,Unit,17th March 2020,$435k,VIC,Meadow Heights,3048
6/31 Rokewood Cr,2,3,2,21-03-2020,273m²,Unit,13th March 2020,$450k,VIC,Meadow Heights,3048
1 Ross St,1,2,2,21-03-2020,UNAVAILABLE,House,11th March 2020,$349k,VIC,Meeniyan,3956
G04/55 Queens Rd,1,2,1,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$610k,VIC,Melbourne,3004
705/17 Singers La,1,1,−,21-03-2020,UNAVAILABLE,Unit,12th March 2020,$298k,VIC,Melbourne,3000
2909/220 Spencer St,1,1,1,21-03-2020,UNAVAILABLE,Unit,18th March 2020,$365k,VIC,Melbourne,3000
205/469 St Kilda Rd,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,Price withheld,UNAVAILABLE,Melbourne,UNAVAILABLE
1304/582 St Kilda Rd,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$816k,UNAVAILABLE,Melbourne,UNAVAILABLE
2202/483 Swanston St,1,2,1,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,-1,VIC,Melbourne,3000
1606/120 Abeckett St,2,2,−,21-03-2020,UNAVAILABLE,Unit,11th March 2020,$619k,VIC,Melbourne,3000
2403/464-466 Collins St,1,1,−,21-03-2020,UNAVAILABLE,Unit,17th March 2020,$508k,VIC,Melbourne,3000
1015/480 Collins St,1,1,−,21-03-2020,UNAVAILABLE,Unit,12th March 2020,$290k,VIC,Melbourne,3000
3008/568 Collins St,1,1,−,21-03-2020,UNAVAILABLE,Unit,19th March 2020,$332k,VIC,Melbourne,3000
402/20 Coromandel Pl,1,2,−,21-03-2020,UNAVAILABLE,Unit,17th March 2020,$385k,VIC,Melbourne,3000
8/5-7 Drewery La,2,2,1,21-03-2020,UNAVAILABLE,Unit,28th February 2020,$880k,VIC,Melbourne,3000
103/591-593 Elizabeth St,1,1,−,21-03-2020,UNAVAILABLE,Unit,10th March 2020,$175k,VIC,Melbourne,3000
913/108 Flinders St,2,3,2,21-03-2020,UNAVAILABLE,Unit,19th March 2020,$1.122m,VIC,Melbourne,3000
905/500 Flinders St,1,1,−,21-03-2020,UNAVAILABLE,Unit,16th March 2020,$200k,VIC,Melbourne,3000
812/565 Flinders St,1,1,−,21-03-2020,UNAVAILABLE,Unit,13th March 2020,$328k,VIC,Melbourne,3000
3501/224-252 La Trobe St,1,1,−,21-03-2020,UNAVAILABLE,Unit,8th March 2020,$422k,VIC,Melbourne,3000
1105/300 Little Lonsdale St,1,2,−,21-03-2020,UNAVAILABLE,Unit,3rd March 2020,$580k,VIC,Melbourne,3000
12b/131 Lonsdale St,1,1,−,21-03-2020,UNAVAILABLE,Unit,13th March 2020,$300k,VIC,Melbourne,3000
2813/618 Lonsdale St,1,2,1,21-03-2020,UNAVAILABLE,Unit,12th March 2020,$530k,VIC,Melbourne,3000
4109/639 Lonsdale St,1,2,1,21-03-2020,UNAVAILABLE,Unit,1st March 2020,$575k,VIC,Melbourne,3000
904/9-23 Mackenzie St,2,2,−,21-03-2020,UNAVAILABLE,Unit,13th March 2020,$741k,VIC,Melbourne,3000
708/350 William St,1,1,−,21-03-2020,UNAVAILABLE,Unit,13th March 2020,$340k,VIC,Melbourne,3000
502/25-33 Wills St,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,21-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$402k,UNAVAILABLE,Melbourne,UNAVAILABLE
5 Avonmore Wy,2,4,2,21-03-2020,512m²,House,7th March 2020,$660k,VIC,Melton South,3338
7 Cardigan Cl,2,6,2,21-03-2020,600m²,House,5th March 2020,$572k,VIC,Melton South,3338
6 Linacre Cr,2,4,2,21-03-2020,446m²,House,17th March 2020,$510k,VIC,Melton South,3338
10 Golden Wattle Wy,2,3,4,21-03-2020,800m²,House,19th March 2020,$573k,VIC,Melton West,3337
3 Renate Dr,2,5,2,21-03-2020,516m²,House,11th March 2020,$535k,VIC,Melton West,3337
42a Albenca St,3,4,2,21-03-2020,481m²,Townhouse,UNAVAILABLE,Price withheld,VIC,Mentone,3194
